Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,Dimensionhumanname,DictionaryCitation
c9.58,9,58,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.4 Concrete Quantity/58 Exclusion,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.59,9,59,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.4 Concrete Quantity/59 Component,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.60,9,60,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.3 Quantity/1.3.4 Concrete Quantity/60 Extraneousness,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.61,9,61,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.1 Order General/61 Order,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.62,9,62,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.1 Order General/62 Disorder,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.63,9,63,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.1 Order General/63 Complexity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.64,9,64,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.1 Order General/64 Arrangement,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.65,9,65,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.1 Order General/65 Derangement,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.66,9,66,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/66 Precedence,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.67,9,67,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/67 Sequence,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.68,9,68,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/68 Precursor,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.69,9,69,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/69 Sequel,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.70,9,70,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/70 Beginning,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.71,9,71,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/71 End,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.72,9,72,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/72 Middle,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.73,9,73,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/73 Continuity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.74,9,74,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/74 Discontinuity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.75,9,75,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.2 Consecutive Order/75 Term,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.76,9,76,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.3 Collective Order/76 Assemblage,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.77,9,77,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.3 Collective Order/77 Dispersion,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.78,9,78,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.3 Collective Order/78 Focus,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.79,9,79,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.4 Distributive Order/79 Class,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.80,9,80,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.4 Distributive Order/80 Inclusion,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.81,9,81,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.4 Distributive Order/81 Exclusion,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.82,9,82,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.4 Distributive Order/82 Generality,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.83,9,83,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.4 Distributive Order/83 Speciality,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.84,9,84,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.5 Categorical Order/84 Normality,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.85,9,85,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.5 Categorical Order/85 Multiformity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.86,9,86,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.5 Categorical Order/86 Conformity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.87,9,87,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.4 Order/1.4.5 Categorical Order/87 Unconformity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.88,9,88,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.1 Number In The Abstract/88 Number,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.89,9,89,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.1 Number In The Abstract/89 Numeration,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.90,9,90,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.1 Number In The Abstract/90 List,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.91,9,91,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/100 Quadruplication,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.92,9,92,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/101 Quadrisection,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.93,9,93,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/102 Five And Over,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.94,9,94,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/103 Multisection,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.95,9,95,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/91 Unity,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.96,9,96,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/92 Accompaniment,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.97,9,97,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/93 Duality,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.98,9,98,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/94 Duplication,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.99,9,99,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/95 Bisection,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.100,9,100,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/96 Triality,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.101,9,101,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/97 Triplication,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.102,9,102,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/98 Trisection,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
c9.103,9,103,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.5 Number/1.5.2 Determinate Number/99 Four,Peter Mark Roget. (1911). 'Roget's Thesaurus of English Words and Phrases'.  New York: TY Crowell Company.
