Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c5.45,5,45,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Conj,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.46,5,46,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Prep,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.47,5,47,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Adverbs,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.48,5,48,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Future,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.49,5,49,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Present,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.50,5,50,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Past,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.51,5,51,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),AuxVb,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.52,5,52,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Verbs,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.53,5,53,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Article,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.54,5,54,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),IPron,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.55,5,55,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),They,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.56,5,56,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),SheHe,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.57,5,57,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),You,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.58,5,58,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),We,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.59,5,59,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),I,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.60,5,60,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),PersonalPron,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.61,5,61,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Pronoun,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.62,5,62,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Funct,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
