Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,Dimensionhumanname
c9.150,9,150,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.1 Simple Change/150 Continuance In Action
c9.151,9,151,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.1 Simple Change/151 Conversion
c9.152,9,152,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.1 Simple Change/152 Reversion
c9.153,9,153,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.1 Simple Change/153 Revolution
c9.154,9,154,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.1 Simple Change/154 Substitution
c9.155,9,155,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.1 Simple Change/155 Interchange
c9.156,9,156,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.2 Complex Change/156 Changeableness
c9.157,9,157,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.2 Complex Change/157 Stability
c9.158,9,158,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.2 Complex Change/158 Eventuality
c9.159,9,159,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.7 Change/1.7.2 Complex Change/159 Destiny
c9.160,9,160,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.8 Causation/1.8.1 Constancy Of Sequence/160 Cause
c9.161,9,161,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.8 Causation/1.8.1 Constancy Of Sequence/161 Effect
c9.162,9,162,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.8 Causation/1.8.1 Constancy Of Sequence/162 Attribution
c9.163,9,163,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.8 Causation/1.8.1 Constancy Of Sequence/163 Chance
c9.164,9,164,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.8 Causation/1.8.2 About Cause And Effect/164 Power
c9.165,9,165,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.8 Causation/1.8.2 About Cause And Effect/165 Impotence
c9.166,9,166,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.8 Causation/1.8.2 About Cause And Effect/166 Strength
c9.167,9,167,WORDCOUNT,eng,Roget's Thesaurus 1911 Edition,Class I - Abstract Relations/1.8 Causation/1.8.2 About Cause And Effect/167 Weakness
